ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
78	-7.962498893682862	-8.943748133089871	-7.879164765184084	-7.008493057860277
79	-7.985886090828531	-8.918703188958837	-7.870202012344596	-7.003199538112492
80	-7.9713793008075005	-8.904651440977881	-7.862400782949787	-7.002127793450468
81	-7.951528515322401	-8.867529870560807	-7.844983739443842	-6.993282442747937
82	-7.974233737138939	-8.85276330346261	-7.840290431279238	-7.002802439428977
83	-7.957307846553694	-8.779748589445612	-7.8128694926152695	-7.000555371169214
84	-7.9558001438211114	-8.761239005973977	-7.804985710071053	-6.992674659807365
85	-7.936837730943597	-8.742205788803929	-7.790962225034082	-6.9881814913152605
86	-7.989409364973843	-8.74841893461658	-7.7926050194526475	-6.991796382343041
87	-7.9063019969023145	-8.651889382121869	-7.758641096913306	-6.981476725854503
88	-7.919167427259545	-8.647432860382692	-7.755363949505822	-6.980197685031394
89	-7.922289108308308	-8.649594396503906	-7.750835073477844	-6.971179057417721
90	-7.9306102030091274	-8.646765682044338	-7.7500387210974395	-6.9751759735589225
91	-7.944513842792339	-8.650078894236048	-7.750093351264799	-6.968797502489091
92	-7.948949551941491	-8.650570652173808	-7.748845730998924	-6.969583264188387
93	-7.946371210863941	-8.631987498616999	-7.741817580991602	-6.969040684810111
94	-7.913990278238609	-8.610225619537418	-7.7285419029114175	-6.964708070582871
95	-7.907868680163717	-8.574156778957802	-7.717952881264459	-6.96448092985934
96	-7.918525694213873	-8.582495159862654	-7.716433435437108	-6.9608255199688776
97	-7.91608260039819	-8.569365734594424	-7.71187714925132	-6.959113701736819
98	-7.91225529649287	-8.559326736917662	-7.707467928329039	-6.961652077110162
99	-7.893983847770694	-8.54831639285306	-7.6986501721705585	-6.950755268834919
100	-7.888618763137394	-8.54149463436207	-7.692937767359924	-6.943033659696732
