Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
27	22:01:15	22:01:15	22:01:15	22:01:15	22:02:16	22:02:16			22:02:16	22:02:16	22:02:17	22:02:17	22:06:02	22:06:02	22:06:02	22:06:02	22:06:02	22:06:02			22:06:05	22:06:05		00:00:00	00:01:01		00:00:00	00:00:00	00:03:45	00:00:00	00:00:00		00:00:02	00:04:50
28	22:06:05	22:06:05	22:06:05	22:06:05	22:06:47	22:06:47			22:06:48	22:06:48	22:06:48	22:06:48	22:10:15	22:10:15	22:10:15	22:10:15	22:10:15	22:10:15			22:10:17	22:10:17		00:00:00	00:00:42		00:00:00	00:00:00	00:03:26	00:00:00	00:00:00		00:00:01	00:04:11
29	22:10:17	22:10:17	22:10:17	22:10:17	22:10:58	22:10:58			22:10:58	22:10:58	22:10:58	22:10:58	22:14:17	22:14:17	22:14:17	22:14:17	22:14:17	22:14:17			22:14:19	22:14:19		00:00:00	00:00:40		00:00:00	00:00:00	00:03:18	00:00:00	00:00:00		00:00:01	00:04:01
30	22:14:19	22:14:19	22:14:19	22:14:19	22:15:01	22:15:01			22:15:01	22:15:01	22:15:02	22:15:02	22:18:19	22:18:19	22:18:19	22:18:19	22:18:19	22:18:19	22:18:19	22:18:19	22:18:38	22:18:38		00:00:00	00:00:41		00:00:00	00:00:00	00:03:17	00:00:00	00:00:00	00:00:00	00:00:19	00:04:19
31	22:18:39	22:18:39	22:18:39	22:18:39	22:19:21	22:19:21			22:19:21	22:19:21	22:19:21	22:19:21	22:22:28	22:22:28	22:22:28	22:22:28	22:22:28	22:22:28			22:22:28	22:22:28		00:00:00	00:00:42		00:00:00	00:00:00	00:03:06	00:00:00	00:00:00		00:00:00	00:03:49
32	22:22:28	22:22:28	22:22:28	22:22:28	22:23:09	22:23:09			22:23:09	22:23:09	22:23:10	22:23:10	22:26:16	22:26:16	22:26:16	22:26:16	22:26:16	22:26:16			22:26:17	22:26:17		00:00:00	00:00:40		00:00:00	00:00:00	00:03:06	00:00:00	00:00:00		00:00:00	00:03:48
33	22:26:17	22:26:17	22:26:17	22:26:17	22:26:56	22:26:56			22:26:56	22:26:56	22:26:56	22:26:56	22:30:02	22:30:02	22:30:02	22:30:02	22:30:02	22:30:02			22:30:02	22:30:02		00:00:00	00:00:38		00:00:00	00:00:00	00:03:05	00:00:00	00:00:00		00:00:00	00:03:45
34	22:30:02	22:30:02	22:30:02	22:30:02	22:30:46	22:30:46			22:30:47	22:30:47	22:30:48	22:30:48	22:33:55	22:33:55	22:33:55	22:33:55	22:33:55	22:33:55			22:33:55	22:33:55		00:00:00	00:00:44		00:00:00	00:00:01	00:03:07	00:00:00	00:00:00		00:00:00	00:03:53
35	22:33:55	22:33:55	22:33:55	22:33:55	22:34:36	22:34:36			22:34:36	22:34:36	22:34:37	22:34:37	22:37:39	22:37:39	22:37:39	22:37:39	22:37:39	22:37:39			22:37:40	22:37:40		00:00:00	00:00:40		00:00:00	00:00:01	00:03:02	00:00:00	00:00:00		00:00:00	00:03:44
36	22:37:40	22:37:40	22:37:40	22:37:40	22:38:19	22:38:19			22:38:19	22:38:19	22:38:20	22:38:20	22:41:21	22:41:21	22:41:21	22:41:21	22:41:21	22:41:21			22:41:23	22:41:23		00:00:00	00:00:39		00:00:00	00:00:00	00:03:01	00:00:00	00:00:00		00:00:01	00:03:43
