Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
27	15:09:33	15:09:33	15:09:33	15:09:33	15:10:13	15:10:13			15:10:13	15:10:13	15:10:13	15:10:13	15:12:56	15:12:56	15:12:56	15:12:56	15:12:56	15:12:56			15:12:58	15:12:58		00:00:00	00:00:39		00:00:00	00:00:00	00:02:42	00:00:00	00:00:00		00:00:01	00:03:24
28	15:12:58	15:12:58	15:12:58	15:12:58	15:13:37	15:13:37			15:13:37	15:13:37	15:13:37	15:13:37	15:16:20	15:16:20	15:16:20	15:16:20	15:16:20	15:16:20			15:16:22	15:16:22		00:00:00	00:00:39		00:00:00	00:00:00	00:02:42	00:00:00	00:00:00		00:00:01	00:03:24
29	15:16:22	15:16:22	15:16:22	15:16:22	15:17:00	15:17:00			15:17:00	15:17:00	15:17:00	15:17:00	15:19:43	15:19:43	15:19:43	15:19:43	15:19:43	15:19:43			15:19:45	15:19:45		00:00:00	00:00:37		00:00:00	00:00:00	00:02:42	00:00:00	00:00:00		00:00:01	00:03:22
30	15:19:45	15:19:45	15:19:45	15:19:45	15:20:22	15:20:22			15:20:22	15:20:22	15:20:22	15:20:22	15:23:06	15:23:06	15:23:06	15:23:06	15:23:06	15:23:06	15:23:06	15:23:06	15:23:25	15:23:25		00:00:00	00:00:36		00:00:00	00:00:00	00:02:43	00:00:00	00:00:00	00:00:00	00:00:19	00:03:39
31	15:23:25	15:23:25	15:23:25	15:23:25	15:24:07	15:24:07			15:24:07	15:24:07	15:24:08	15:24:08	15:26:57	15:26:57	15:26:57	15:26:57	15:26:57	15:26:57			15:26:57	15:26:57		00:00:00	00:00:41		00:00:00	00:00:00	00:02:48	00:00:00	00:00:00		00:00:00	00:03:32
32	15:26:57	15:26:57	15:26:57	15:26:57	15:27:35	15:27:35			15:27:35	15:27:35	15:27:36	15:27:36	15:30:47	15:30:47	15:30:47	15:30:47	15:30:47	15:30:47			15:30:48	15:30:48		00:00:00	00:00:37		00:00:00	00:00:00	00:03:11	00:00:00	00:00:00		00:00:00	00:03:50
33	15:30:48	15:30:48	15:30:48	15:30:48	15:31:25	15:31:25			15:31:25	15:31:25	15:31:26	15:31:26	15:35:27	15:35:27	15:35:27	15:35:27	15:35:27	15:35:27			15:35:28	15:35:28		00:00:00	00:00:36		00:00:00	00:00:00	00:04:00	00:00:00	00:00:00		00:00:00	00:04:39
34	15:35:28	15:35:28	15:35:28	15:35:28	15:37:03	15:37:03			15:37:04	15:37:04	15:37:05	15:37:05	15:41:01	15:41:01	15:41:01	15:41:01	15:41:01	15:41:01			15:41:01	15:41:01		00:00:00	00:01:35		00:00:00	00:00:01	00:03:55	00:00:00	00:00:00		00:00:00	00:05:33
35	15:41:01	15:41:01	15:41:01	15:41:01	15:41:40	15:41:40			15:41:40	15:41:40	15:41:41	15:41:41	15:44:58	15:44:58	15:44:58	15:44:58	15:44:58	15:44:58			15:44:59	15:44:59		00:00:00	00:00:39		00:00:00	00:00:00	00:03:17	00:00:00	00:00:00		00:00:00	00:03:57
36	15:44:59	15:44:59	15:44:59	15:44:59	15:45:38	15:45:38			15:45:38	15:45:38	15:45:39	15:45:39	15:48:40	15:48:40	15:48:40	15:48:40	15:48:40	15:48:40			15:48:44	15:48:44		00:00:00	00:00:38		00:00:00	00:00:00	00:03:01	00:00:00	00:00:00		00:00:03	00:03:44
37	15:48:44	15:48:44	15:48:44	15:48:44	15:49:22	15:49:22			15:49:22	15:49:22	15:49:23	15:49:23	15:52:23	15:52:23	15:52:23	15:52:23	15:52:23	15:52:23			15:52:26	15:52:26		00:00:00	00:00:38		00:00:00	00:00:00	00:03:00	00:00:00	00:00:00		00:00:02	00:03:42
38	15:52:26	15:52:26	15:52:26	15:52:26	15:53:04	15:53:04			15:53:04	15:53:04	15:53:04	15:53:04	15:56:10	15:56:10	15:56:11	15:56:11	15:56:11	15:56:11			15:56:13	15:56:13		00:00:00	00:00:37		00:00:00	00:00:00	00:03:06	00:00:00	00:00:00		00:00:02	00:03:46
39	15:56:13	15:56:13	15:56:13	15:56:13	15:56:53	15:56:53			15:56:53	15:56:53	15:56:53	15:56:53	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46			15:59:48	15:59:48		00:00:00	00:00:40		00:00:00	00:00:00	00:02:52	00:00:00	00:00:00		00:00:01	00:03:35
40	15:59:48	15:59:48	15:59:48	15:59:48	16:00:26	16:00:26			16:00:26	16:00:26	16:00:27	16:00:27	16:03:23	16:03:23	16:03:23	16:03:23	16:03:23	16:03:23	16:03:23	16:03:23	16:03:44	16:03:44		00:00:00	00:00:37		00:00:00	00:00:00	00:02:55	00:00:00	00:00:00	00:00:00	00:00:21	00:03:55
41	16:03:44	16:03:44	16:03:44	16:03:44	16:04:21	16:04:21			16:04:22	16:04:22	16:04:22	16:04:22	16:07:20	16:07:20	16:07:20	16:07:20	16:07:20	16:07:20			16:07:20	16:07:20		00:00:00	00:00:37		00:00:00	00:00:00	00:02:57	00:00:00	00:00:00		00:00:00	00:03:36
42	16:07:20	16:07:20	16:07:20	16:07:20	16:07:59	16:07:59			16:07:59	16:07:59	16:08:00	16:08:00	16:10:55	16:10:55	16:10:55	16:10:55	16:10:55	16:10:55			16:10:55	16:10:55		00:00:00	00:00:38		00:00:00	00:00:00	00:02:55	00:00:00	00:00:00		00:00:00	00:03:35
43	16:10:56	16:10:56	16:10:56	16:10:56	16:11:33	16:11:33			16:11:33	16:11:33	16:11:33	16:11:33	16:14:37	16:14:37	16:14:37	16:14:37	16:14:37	16:14:37			16:14:37	16:14:37		00:00:00	00:00:36		00:00:00	00:00:00	00:03:03	00:00:00	00:00:00		00:00:00	00:03:41
44	16:14:37	16:14:37	16:14:37	16:14:37	16:15:16	16:15:16			16:15:17	16:15:17	16:15:17	16:15:17	16:18:15	16:18:15	16:18:15	16:18:15	16:18:15	16:18:15			16:18:16	16:18:16		00:00:00	00:00:38		00:00:00	00:00:00	00:02:58	00:00:00	00:00:00		00:00:00	00:03:38
45	16:18:16	16:18:16	16:18:16	16:18:16	16:18:56	16:18:56			16:18:56	16:18:56	16:18:56	16:18:56	16:21:52	16:21:52	16:21:52	16:21:52	16:21:52	16:21:52			16:21:52	16:21:52		00:00:00	00:00:39		00:00:00	00:00:00	00:02:55	00:00:00	00:00:00		00:00:00	00:03:36
46	16:21:52	16:21:52	16:21:52	16:21:52	16:22:33	16:22:33			16:22:33	16:22:33	16:22:33	16:22:33	16:25:34	16:25:34	16:25:35	16:25:35	16:25:35	16:25:35			16:25:36	16:25:36		00:00:00	00:00:40		00:00:00	00:00:00	00:03:01	00:00:00	00:00:00		00:00:01	00:03:43
47	16:25:36	16:25:36	16:25:36	16:25:36	16:26:12	16:26:12			16:26:13	16:26:13	16:26:13	16:26:13	16:29:09	16:29:09	16:29:09	16:29:09	16:29:09	16:29:09			16:29:11	16:29:11		00:00:00	00:00:35		00:00:00	00:00:00	00:02:55	00:00:00	00:00:00		00:00:01	00:03:34
48	16:29:11	16:29:11	16:29:11	16:29:11	16:29:51	16:29:51			16:29:51	16:29:51	16:29:51	16:29:51	16:32:45	16:32:45	16:32:45	16:32:45	16:32:45	16:32:45			16:32:47	16:32:47		00:00:00	00:00:40		00:00:00	00:00:00	00:02:54	00:00:00	00:00:00		00:00:01	00:03:36
49	16:32:47	16:32:47	16:32:47	16:32:47	16:33:23	16:33:23			16:33:23	16:33:23	16:33:24	16:33:24	16:36:18	16:36:18	16:36:18	16:36:18	16:36:18	16:36:18			16:36:19	16:36:19		00:00:00	00:00:36		00:00:00	00:00:00	00:02:53	00:00:00	00:00:00		00:00:01	00:03:32
50	16:36:20	16:36:20	16:36:20	16:36:20	16:36:56	16:36:56	16:36:56	16:37:08	16:37:08	16:37:08	16:37:08	16:37:08	16:40:09	16:40:09	16:40:09	16:40:09	16:40:09	16:40:09	16:40:14	16:40:14	16:40:35	16:40:35		00:00:00	00:00:36	00:00:11	00:00:11	00:00:00	00:03:01	00:00:00	00:00:00	00:00:00	00:00:25	00:04:15
