linkID,volume,capacity
608482,2,3000.0
608483,2,3000.0
608484,2,3000.0
608485,2,3000.0
128568,8,1200.0
403327,7,6000.0
403328,7,6000.0
153580,20,3000.0
153581,30,6000.0
72894-339051,22,3000.0
61470,1,1200.0
403321,1,4000.0
403322,1,4000.0
403323,1,2000.0
403325,1,2000.0
608470,3,1200.0
608472,4,1200.0
608474,5,1200.0
403315,21,3000.0
403316,5,3000.0
41,1,1200.0
43,1,1200.0
465922-465920-465918,1,1200.0
608462,5,4000.0
313823-375171,13,2000.0
608463,3,4000.0
220923-499895-499898,2,1200.0
608468,3,1200.0
256647-256649,1,1200.0
58,2,4000.0
59,1,1200.0
307680-307678,1,1200.0
608453,21,6000.0
608456,5,2000.0
608452,25,6000.0
36435,1,1200.0
608457,3,2000.0
608458,5,2000.0
560095,1,2000.0
344599,14,1200.0
560096,6,3000.0
608459,3,2000.0
560097,6,3000.0
560098,6,3000.0
501718,40,12000.0
371841-371839-371837-371835-371833,1,1200.0
501719,58,12000.0
403378,1,1200.0
344591,20,12000.0
153535,1,1200.0
153536,51,6000.0
153537,41,6000.0
501717,63,12000.0
153539,2,1200.0
483934-484337,3,4000.0
501720,40,12000.0
608445,11,1200.0
442932,1,6000.0
608446,4,1200.0
344589,38,12000.0
238907-124285,9,2400.0
153522,5,3000.0
501703,48,15000.000000000002
608431,21,3000.0
608432,33,3000.0
608433,26,3000.0
417994,6,6000.0
608434,33,3000.0
608430,33,3000.0
403359,7,1200.0
608435,26,3000.0
344575,1,2000.0
608436,33,3000.0
608437,26,3000.0
344577,1,2000.0
417917,1,1200.0
350296-350294,1,1200.0
246112,3,2000.0
344568,1,2400.0
344569,1,1200.0
96,8,1200.0
273214-62036,30,4000.0
311272-311273,2,1200.0
97,10,1200.0
98,13,2400.0
344567,1,2400.0
99,10,2400.0
246114,3,2000.0
246120,1,1200.0
246121,2,1200.0
417933,6,1200.0
3800,1,1200.0
560055,1,1200.0
244406-244408,1,1200.0
3817,3,1200.0
3818,1,1200.0
3819,2,1200.0
417944,8,3000.0
344544,1,1200.0
285742,36,12000.0
285743,64,12000.0
227433-167389-167390-167391-167392-112286-349617-349618-349619-349620-349621-349622-349629,5,12000.0
622525-540140-482523,1,1200.0
599240-599241,1,4000.0
3820,2,1200.0
582613-582615,4,6000.0
403313,1,2000.0
403314,16,6000.0
388575-388551-411409,1,9000.0
61401,1,4000.0
61402,1,4000.0
347270-470713,10,4000.0
61403,2,4000.0
61404,2,4000.0
61405,2,4000.0
574630,1,1200.0
574632,1,1200.0
85433-200954,33,9000.0
271103,1,2400.0
3831,2,1200.0
153582,33,6000.0
153584,2,6000.0
319584,2,1200.0
153585,2,6000.0
153586,3,6000.0
153587,3,6000.0
153588,4,6000.0
246159,1,6000.0
61412,2,2000.0
61407,2,4000.0
61408,1,4000.0
574641,1,1200.0
574642,1,1200.0
61409,1,4000.0
574643,1,1200.0
574644,1,1200.0
344517,4,1200.0
344518,2,1200.0
574645,1,1200.0
574646,1,1200.0
344519,2,1200.0
574647,1,1200.0
574648,1,1200.0
344516,3,1200.0
435163-435164,6,1200.0
560010,1,6000.0
319551,1,6000.0
560012,3,6000.0
560013,3,6000.0
560014,3,6000.0
319557,1,6000.0
246129,1,1200.0
574660,2,6000.0
246130,2,1200.0
344506,3,1200.0
574655,2,6000.0
344507,4,1200.0
574656,2,6000.0
344508,4,1200.0
574657,2,6000.0
344509,4,1200.0
216076-216137,1,1200.0
574658,3,2400.0
574659,2,2400.0
344505,3,1200.0
285700,1,4000.0
285701,1,4000.0
285702,1,4000.0
372071-372063,21,6000.0
246141,1,1200.0
246142,1,1200.0
246143,1,1200.0
246144,2,1200.0
3861,4,1200.0
3862,4,1200.0
3863,4,1200.0
3864,4,1200.0
557933-557934,3,8000.0
3867,1,1200.0
483495-483489,5,6000.0
109123-109124,6,6000.0
285311,1,1200.0
285312,7,1200.0
476052,27,12000.0
285313,5,2400.0
285314,1,2400.0
285319,3,4000.0
501587,30,8000.0
543711-534369,19,3000.0
3875,1,1200.0
476067,4,1200.0
285326,20,6000.0
285327,20,6000.0
285328,21,6000.0
285329,1,1200.0
612134-612132,5,1200.0
511415-511417,2,1200.0
501570,1,1200.0
310843,26,6000.0
501572,1,1200.0
310846,26,12000.0
310847,34,9000.0
310848,22,9000.0
389865-389859,1,4000.0
298389-513807,2,2400.0
299970,1,1200.0
310810,3,1200.0
310812,3,1200.0
310814,3,1200.0
558739-247367,4,2000.0
440410-440408-440406,1,1200.0
285343,6,3000.0
327333-327334,1,1200.0
299983,1,1200.0
574502,35,6000.0
476010,12,1200.0
476011,16,1200.0
549569,17,1200.0
476007,18,1200.0
476008,13,1200.0
476009,14,1200.0
299915,2,1200.0
476003,10,1200.0
299916,3,1200.0
128946,1,1200.0
476004,5,1200.0
476005,10,1200.0
476006,9,1200.0
240704-67669,6,1200.0
230327-230322,1,4000.0
128940,40,6000.0
128939,94,16000.0
128931,47,6000.0
476018,1,1200.0
128932,55,6000.0
128933,54,6000.0
128938,18,3000.0
602781-332549,5,6000.0
468340-468341-468342,19,12000.0
343461-299465,1,1200.0
128929,1,1200.0
128921,6,4000.0
128922,7,4000.0
